Date,SP500,Note10y
29-Dec-00,1837.365,1.0307
02-Jan-01,1785.86,1.0456
03-Jan-01,1875.564,1.0279
04-Jan-01,1855.818,1.0368
05-Jan-01,1807.128,1.0455
08-Jan-01,1804.038,1.0443
09-Jan-01,1810.981,1.0407
10-Jan-01,1828.496,1.0334
11-Jan-01,1847.367,1.0325
12-Jan-01,1835.535,1.0217
16-Jan-01,1847.133,1.0241
17-Jan-01,1851.162,1.0286
18-Jan-01,1876.941,1.0335
19-Jan-01,1869.384,1.0293
22-Jan-01,1869.886,1.0255
23-Jan-01,1894.253,1.0215
24-Jan-01,1899.71,1.0200
25-Jan-01,1890.272,1.0248
26-Jan-01,1886.797,1.0227
29-Jan-01,1899.751,1.0205
30-Jan-01,1913.126,1.0267
31-Jan-01,1902.553,1.0350
01-Feb-01,1913.113,1.0373
02-Feb-01,1879.689,1.0320
05-Feb-01,1886.48,1.0314
06-Feb-01,1883.718,1.0309
07-Feb-01,1868.288,1.0285
08-Feb-01,1856.659,1.0308
09-Feb-01,1831.958,1.0350
12-Feb-01,1853.652,1.0330
13-Feb-01,1837.772,1.0322
14-Feb-01,1834.102,1.0260
15-Feb-01,1849.146,1.0253
16-Feb-01,1814.216,1.0302
20-Feb-01,1782.747,1.0305
21-Feb-01,1749.86,1.0281
22-Feb-01,1746.503,1.0273
23-Feb-01,1736.824,1.0312
26-Feb-01,1767.293,1.0364
27-Feb-01,1753.883,1.0425
28-Feb-01,1729.075,1.0477
01-Mar-01,1730.916,1.0482
02-Mar-01,1721.086,1.0428
05-Mar-01,1731.424,1.0408
06-Mar-01,1748.737,1.0423
07-Mar-01,1760.361,1.0481
08-Mar-01,1764.394,1.0469
09-Mar-01,1720.709,1.0446
12-Mar-01,1646.417,1.0486
13-Mar-01,1671.186,1.0458
14-Mar-01,1628.02,1.0539
15-Mar-01,1637.606,1.0569
16-Mar-01,1605.483,1.0584
19-Mar-01,1633.812,1.0557
20-Mar-01,1594.503,1.0605
21-Mar-01,1565.984,1.0591
22-Mar-01,1559.648,1.0623
23-Mar-01,1590.699,1.0585
26-Mar-01,1608.646,1.0543
27-Mar-01,1649.787,1.0440
28-Mar-01,1609.671,1.0470
29-Mar-01,1602.258,1.0448
30-Mar-01,1619.537,1.0521
02-Apr-01,1599.355,1.0479
03-Apr-01,1544.348,1.0518
04-Apr-01,1540.166,1.0526
05-Apr-01,1607.462,1.0482
06-Apr-01,1575.712,1.0552
09-Apr-01,1588.504,1.0524
10-Apr-01,1631.685,1.0404
11-Apr-01,1628.228,1.0370
12-Apr-01,1652.831,1.0324
16-Apr-01,1647.496,1.0280
17-Apr-01,1664.436,1.0307
18-Apr-01,1729.262,1.0364
19-Apr-01,1750.984,1.0246
20-Apr-01,1736.016,1.0254
23-Apr-01,1710.01,1.0345
24-Apr-01,1689.228,1.0322
25-Apr-01,1716.168,1.0287
26-Apr-01,1724.378,1.0342
27-Apr-01,1750.319,1.0241
30-Apr-01,1745.392,1.0232
01-May-01,1769.12,1.0271
02-May-01,1770.66,1.0273
03-May-01,1744.536,1.0334
04-May-01,1769.779,1.0335
07-May-01,1765.492,1.0353
08-May-01,1762.411,1.0315
09-May-01,1754.715,1.0377
10-May-01,1754.462,1.0277
11-May-01,1741.332,1.0163
14-May-01,1746.009,1.0182
15-May-01,1746.747,1.0126
16-May-01,1796.724,1.0166
17-May-01,1801.634,1.0206
18-May-01,1806.834,1.0209
21-May-01,1836.021,1.0232
22-May-01,1831.204,1.0214
23-May-01,1802.84,1.0226
24-May-01,1808.644,1.0147
25-May-01,1787.278,1.0148
29-May-01,1773.455,1.0134
30-May-01,1746.113,1.0147
31-May-01,1757.086,1.0246
01-Jun-01,1763.872,1.0258
04-Jun-01,1772.915,1.0279
05-Jun-01,1795.962,1.0335
06-Jun-01,1777.25,1.0350
07-Jun-01,1786.991,1.0300
08-Jun-01,1770.207,1.0275
11-Jun-01,1755.425,1.0333
12-Jun-01,1757.482,1.0363
13-Jun-01,1737.942,1.0355
14-Jun-01,1707.557,1.0387
15-Jun-01,1699.85,1.0377
18-Jun-01,1691.587,1.0366
19-Jun-01,1697.41,1.0383
20-Jun-01,1712.258,1.0408
21-Jun-01,1731.755,1.0438
22-Jun-01,1715.392,1.0479
25-Jun-01,1705.943,1.0478
26-Jun-01,1703.367,1.0405
27-Jun-01,1695.613,1.0390
28-Jun-01,1716.813,1.0323
29-Jun-01,1714.321,1.0268
02-Jul-01,1731.531,1.0341
03-Jul-01,1728.65,1.0294
05-Jul-01,1707.681,1.0285
06-Jul-01,1667.901,1.0315
09-Jul-01,1679.402,1.0346
10-Jul-01,1655.305,1.0394
11-Jul-01,1653.542,1.0373
12-Jul-01,1692.731,1.0421
13-Jul-01,1703.308,1.0434
16-Jul-01,1684.774,1.0482
17-Jul-01,1701.573,1.0454
18-Jul-01,1692.267,1.0540
19-Jul-01,1702.516,1.0531
20-Jul-01,1696.672,1.0517
23-Jul-01,1668.9,1.0539
24-Jul-01,1641.76,1.0539
25-Jul-01,1668.159,1.0482
26-Jul-01,1685.621,1.0521
27-Jul-01,1689.785,1.0546
30-Jul-01,1688.029,1.0571
31-Jul-01,1697.445,1.0582
01-Aug-01,1704.24,1.0577
02-Aug-01,1711.174,1.0513
03-Aug-01,1702.434,1.0505
06-Aug-01,1683.031,1.0523
07-Aug-01,1688.603,1.0511
08-Aug-01,1659.581,1.0604
09-Aug-01,1659.756,1.0566
10-Aug-01,1669.206,1.0607
13-Aug-01,1670.962,1.0618
14-Aug-01,1664.611,1.0610
15-Aug-01,1652.713,1.0590
16-Aug-01,1657.875,1.0637
17-Aug-01,1630.345,1.0725
20-Aug-01,1643.59,1.0679
21-Aug-01,1623.739,1.0710
22-Aug-01,1635.16,1.0682
